number,color,color_num,author,author_kanji,author_hiragana,kimariji_kami,kimariji_kami_yomi,kimariji_shimo,kimariji_shimo_no_tenten,verse_1,verse_2,verse_3,verse_4,verse_5,verse_1_kanji,verse_2_kanji,verse_3_kanji,verse_4_kanji,verse_5_kanji,verse_1_hiragana,verse_2_hiragana,verse_3_hiragana,verse_4_hiragana,verse_5_hiragana,verse_1_hiragana_yomi,verse_2_hiragana_yomi,verse_3_hiragana_yomi,verse_4_hiragana_yomi,verse_5_hiragana_yomi,kyougi_yomi_kami,kyougi_yomi_shimo,kyougi_yomi_kami_kanji,kyougi_yomi_shimo_kanji,kyougi_yomi_kami_hiragana,kyougi_yomi_shimo_hiragana,torifuda_1,torifuda_2,torifuda_3
21,橙,7,[素性法師|そせいほうし],素性法師,そせいほうし,いまこ,いまこ,あり,あり,[今|いま][来|こ]むと,いひしばかりに,[長月|ながつき]の,[有明|ありあけ]の[月|つき]を,[待|ま]ち[出|い]でつるかな,今来むと,いひしばかりに,長月の,有明の月を,待ち出でつるかな,いまこむと,いひしばかりに,ながつきの,ありあけのつきを,まちいでつるかな,いまこんと,いいしばかりに,ながつきの,ありあけのつきを,まちいでつるかな,いま[来|こ][む|ん]とーい[ひ|い]しばかりにｰ[長月|ながつき]ーのー,ありあけのｰ[月|つき]をー[待|ま]ち[出|い]でつるーかな,いま来むとーいひしばかりにｰ長月ーのー,ありあけのｰ月をー待ち出でつるーかな,いまこんとーいいしばかりにｰながつきーのー,ありあけのｰつきをーまちいでつるーかな,ありあけの,つきをまち,いてつるかな
22,桃,14,[文屋康秀|ふんやのやすひで],文屋康秀,ふんやのやすひで,ふ,ふ,むべ,むへ,[吹|ふ]くからに,[秋|あき]の[草木|くさき]の,しをるれば,むべ[山風|やまかぜ]を,[嵐|あらし]といふらむ,吹くからに,秋の草木の,しをるれば,むべ山風を,嵐といふらむ,ふくからに,あきのくさきの,しをるれば,むべやまかぜを,あらしといふらむ,ふくからに,あきのくさきの,しおるれば,むべやまかぜを,あらしとゆうらん,[吹|ふ]くからにー[秋|あき]の[草木|くさき]のｰし[を|お]るれーばー,むべｰ[山風|やまかぜ]をー[嵐|あらし]と[いふ|ゆう]ーら[む|ん],吹くからにー秋の草木のｰしをるれーばー,むべｰ山風をー嵐といふーらむ,ふくからにーあきのくさきのｰしおるれーばー,むべｰやまかぜをーあらしとゆうーらん,むへやまか,せをあらし,といふらむ
23,緑,7,[大江千里|おおえのちさと],大江千里,おおえのちさと,つき,つき,わがみひ,わかみひ,[月|つき][見|み]れば,[千々|ちぢ]に[物|もの]こそ,[悲|かな]しけれ,わが[身|み][一|ひと]つの,[秋|あき]にはあらねど,月見れば,千々に物こそ,悲しけれ,わが身一つの,秋にはあらねど,つきみれば,ちぢにものこそ,かなしけれ,わがみひとつの,あきにはあらねど,つきみれば,ちじにものこそ,かなしけれ,わがみひとつの,あきにわあらねど,[月|つき][見|み]ればーち[ぢ|じ]に[物|もの]こそｰ[悲|かな]しけーれー,わが[身|み]ｰひとつのー[秋|あき]に[は|わ]あらーねど,月見ればーちぢに物こそｰ悲しけーれー,わが身ｰひとつのー秋にはあらーねど,つきみればーちじにものこそｰかなしけーれー,わがみｰひとつのーあきにわあらーねど,わかみひと,つのあきに,はあらねと
24,青,16,[菅家|かんけ],菅家,かんけ,この,この,もみ,もみ,この[度|たび]は,ぬさも[取|と]りあへず,[手向|たむ]け[山|やま],[紅葉|もみぢ]の[錦|にしき],[神|かみ]のまにまに,この度は,ぬさも取りあへず,手向け山,紅葉の錦,神のまにまに,このたびは,ぬさもとりあへず,たむけやま,もみぢのにしき,かみのまにまに,このたびわ,ぬさもとりあえず,たむけやま,もみじのにしき,かみのまにまに,このたび[は|わ]ーぬさもとりあ[へ|え]ずｰ[手向|たむけ]ー[山|やま]ー,もみ[ぢ|じ]のｰにしきー[神|かみ]のまにーまに,このたびはーぬさもとりあへずｰ手向ー山ー,もみぢのｰにしきー神のまにーまに,このたびわーぬさもとりあえずｰたむけーやまー,もみじのｰにしきーかみのまにーまに,もみちのに,しきかみの,まにまに
25,橙,11,[三条右大臣|さんじょうのうだいじん],三条右大臣,さんじょうのうだいじん,なにし,なにし,ひとにし,ひとにし,[名|な]にしおはば,[逢|あ]ふ[坂山|さかやま]の,さねかづら,[人|ひと]に[知|し]られで,くるよしもがな,名にしおはば,逢ふ坂山の,さねかづら,人に知られで,くるよしもがな,なにしおはば,あふさかやまの,さねかづら,ひとにしられで,くるよしもがな,なにしおわば,おうさかやまの,さねかずら,ひとにしられで,くるよしもがな,なにしお[は|わ]ばー[逢坂山|おうさかやま]のｰさねか[づ|ず]ーらー,[人|ひと]にｰ[知|し]られでーくるよしーもがな,なにしおはばー逢坂山のｰさねかづーらー,人にｰ知られでーくるよしーもがな,なにしおわばーおうさかやまのｰさねかずーらー,ひとにｰしられでーくるよしーもがな,ひとにしら,れてくるよ,しもかな
26,緑,8,[貞信公|ていしんこう],貞信公,ていしんこう,をぐ,おぐ,いまひとたびのみ,いまひとたひのみ,[小倉山|をぐらやま],[峰|みね]のもみぢ[葉|ば],[心|こころ]あらば,[今|いま][一度|ひとたび]の,みゆき[待|ま]たなむ,小倉山,峰のもみぢ葉,心あらば,今一度の,みゆき待たなむ,をぐらやま,みねのもみぢば,こころあらば,いまひとたびの,みゆきまたなむ,おぐらやま,みねのもみじば,こころあらば,いまひとたびの,みゆきまたなん,[小倉山|おぐらやま]ー[峰|みね]のもみ[ぢ|じ][葉|ば]ｰ[心|こころ]あらーばー,いまｰひとたびのーみゆき[待|ま]たーな[む|ん],小倉山ー峰のもみぢ葉ｰ心あらーばー,いまｰひとたびのーみゆき待たーなむ,おぐらやまーみねのもみじばｰこころあらーばー,いまｰひとたびのーみゆきまたーなん,いまひとた,ひのみゆき,またなむ
27,橙,17,[中納言兼輔|ちゅうなごんかねすけ],中納言兼輔,ちゅうなごんかねすけ,みかの,みかの,いつみ,いつみ,みかの[原|はら],わきて[流|なが]るる,[泉川|いづみがは],いつ[見|み]きとてか,[恋|こひ]しかるらむ,みかの原,わきて流るる,泉川,いつ見きとてか,恋しかるらむ,みかのはら,わきてながるる,いづみがは,いつみきとてか,こひしかるらむ,みかのはら,わきてながるる,いずみがわ,いつみきとてか,こいしかるらん,みかの[原|はら]ーわきて[流|なが]るるｰい[づ|ず]みー[川|がわ]ー,いつ[見|み]きｰとてかー[恋|こい]しかるーら[む|ん],みかの原ーわきて流るるｰいづみー川ー,いつ見きｰとてかー恋しかるーらむ,みかのはらーわきてながるるｰいずみーがわー,いつみきｰとてかーこいしかるーらん,いつみきと,てかこひし,かるらむ
28,桃,15,[源宗于朝臣|みなもとのむねゆきあそん],源宗于朝臣,みなもとのむねゆきあそん,やまざ,やまざ,ひとめ,ひとめ,[山里|やまざと]は,[冬|ふゆ]ぞ[寂|さび]しさ,まさりける,[人目|ひとめ]も[草|くさ]も,[枯|か]れぬと[思|おも]へば,山里は,冬ぞ寂しさ,まさりける,人目も草も,枯れぬと思へば,やまざとは,ふゆぞさびしさ,まさりける,ひとめもくさも,かれぬとおもへば,やまざとわ,ふゆぞさびしさ,まさりける,ひとめもくさも,かれぬとおもえば,[山里|やまざと][は|わ]ー[冬|ふゆ]ぞさびしさｰまさりーけるー,[人|ひと]めもｰ[草|くさ]もーかれぬと[思|おも]ー[へ|え]ば,山里はー冬ぞさびしさｰまさりーけるー,人めもｰ草もーかれぬと思ーへば,やまざとわーふゆぞさびしさｰまさりーけるー,ひとめもｰくさもーかれぬとおもーえば,ひとめもく,さもかれぬ,とおもへは
29,緑,9,[凡河内躬恒|おおしこうちのみつね],凡河内躬恒,おおしこうちのみつね,こころあ,こころあ,お,お,[心|こころ]あてに,[折|を]らばや[折|を]らむ,[初霜|はつしも]の,[置|お]きまどはせる,[白菊|しらぎく]の[花|はな],心あてに,折らばや折らむ,初霜の,置きまどはせる,白菊の花,こころあてに,をらばやをらむ,はつしもの,おきまどはせる,しらぎくのはな,こころあてに,おらばやおらん,はつしもの,おきまどわせる,しらぎくのはな,[心|こころ]あてにー[折|お]らばや[折|お]ら[む|ん]ｰ[初霜|はつしも]ーのー,おきｰまど[は|わ]せるー[白菊|しらぎく]のー[花|はな],心あてにー折らばや折らむｰ初霜ーのー,おきｰまどはせるー白菊のー花,こころあてにーおらばやおらんｰはつしもーのー,おきｰまどわせるーしらぎくのーはな,おきまとは,せるしらき,くのはな
30,青,2,[壬生忠岑|みぶのただみね],壬生忠岑,みぶのただみね,ありあ,ありあ,あか,あか,[有明|ありあけ]の,つれなく[見|み]えし,[別|わか]れより,[暁|あかつき]ばかり,[憂|う]きものはなし,有明の,つれなく見えし,別れより,暁ばかり,憂きものはなし,ありあけの,つれなくみえし,わかれより,あかつきばかり,うきものはなし,ありあけの,つれなくみえし,わかれより,あかつきばかり,うきものわなし,[有明|ありあけ]のーつれなく[見|み]えしｰ[別|わか]れーよりー,あかつきｰばかりー[憂|う]きもの[は|わ]ーなし,有明のーつれなく見えしｰ別れーよりー,あかつきｰばかりー憂きものはーなし,ありあけのーつれなくみえしｰわかれーよりー,あかつきｰばかりーうきものわーなし,あかつきは,かりうきも,のはなし
31,青,5,[坂上是則|さかのうえのこれのり],坂上是則,さかのうえのこれのり,あさぼらけあ,あさぼらけあ,よし,よし,[朝|あさ]ぼらけ,[有明|ありあけ]の[月|つき]と,[見|み]るまでに,[吉野|よしの]の[里|さと]に,[降|ふ]れる[白雪|しらゆき],朝ぼらけ,有明の月と,見るまでに,吉野の里に,降れる白雪,あさぼらけ,ありあけのつきと,みるまでに,よしののさとに,ふれるしらゆき,あさぼらけ,ありあけのつきと,みるまでに,よしののさとに,ふれるしらゆき,[朝|あさ]ぼらけ[有明|ありあけ]の[月|つき]とー[見|み]るまでーにー,[吉野|よしの]のｰ[里|さと]にー[降|ふ]れる[白|しら]ー[雪|ゆき],朝ぼらけ有明の月とー見るまでーにー,吉野のｰ里にー降れる白ー雪,あさぼらけありあけのつきとーみるまでーにー,よしののｰさとにーふれるしらーゆき,よしののさ,とにふれる,しらゆき
32,黄,5,[春道列樹|はるみちのつらき],春道列樹,はるみちのつらき,やまが,やまが,ながれ,なかれ,[山川|やまがは]に,[風|かぜ]のかけたる,しがらみは,[流|なが]れもあへぬ,[紅葉|もみぢ]なりけり,山川に,風のかけたる,しがらみは,流れもあへぬ,紅葉なりけり,やまがはに,かぜのかけたる,しがらみは,ながれもあへぬ,もみぢなりけり,やまがわに,かぜのかけたる,しがらみわ,ながれもあえぬ,もみじなりけり,[山川|やまがわ]にー[風|かぜ]のかけたるｰしがらみー[は|わ]ー,[流|なが]れもｰあ[へ|え]ぬーもみ[ぢ|じ]なりーけり,山川にー風のかけたるｰしがらみーはー,流れもｰあへぬーもみぢなりーけり,やまがわにーかぜのかけたるｰしがらみーわー,ながれもｰあえぬーもみじなりーけり,なかれもあ,へぬもみち,なりけり
33,黄,6,[紀友則|きのとものり],紀友則,きのとものり,ひさ,ひさ,しづ,しつ,[久方|ひさかた]の,[光|ひかり]のどけき,[春|はる]の[日|ひ]に,しづ[心|ごころ]なく,[花|はな]の[散|ち]るらむ,久方の,光のどけき,春の日に,しづ心なく,花の散るらむ,ひさかたの,ひかりのどけき,はるのひに,しづごころなく,はなのちるらむ,ひさかたの,ひかりのどけき,はるのひに,しずごころなく,はなのちるらん,ひさかたのー[光|ひかり]のどけきｰ[春|はる]の[日|ひ]ーにー,し[づ|ず][心|ごころ]ｰなくー[花|はな]の[散|ち]るーら[む|ん],ひさかたのー光のどけきｰ春の日ーにー,しづ心ｰなくー花の散るーらむ,ひさかたのーひかりのどけきｰはるのひーにー,しずごころｰなくーはなのちるーらん,しつこころ,なくはなの,ちるらむ
34,桃,10,[藤原興風|ふじわらのおきかぜ],藤原興風,ふじわらのおきかぜ,たれ,たれ,まつも,まつも,[誰|たれ]をかも,[知|し]る[人|ひと]にせむ,[高砂|たかさご]の,[松|まつ]も[昔|むかし]の,[友|とも]ならなくに,誰をかも,知る人にせむ,高砂の,松も昔の,友ならなくに,たれをかも,しるひとにせむ,たかさごの,まつもむかしの,ともならなくに,たれをかも,しるひとにせん,たかさごの,まつもむかしの,ともならなくに,[誰|たれ]をかもー[知|し]る[人|ひと]にせ[む|ん]ｰ[高砂|たかさご]ーのー,[松|まつ]もｰ[昔|むかし]のー[友|とも]ならーなくに,誰をかもー知る人にせむｰ高砂ーのー,松もｰ昔のー友ならーなくに,たれをかもーしるひとにせんｰたかさごーのー,まつもｰむかしのーともならーなくに,まつもむか,しのともな,らなくに
35,緑,10,[紀貫之|きのつらゆき],紀貫之,きのつらゆき,ひとは,ひとわ,はなぞ,はなそ,[人|ひと]はいさ,[心|こころ]も[知|し]らず,ふるさとは,[花|はな]ぞ[昔|むかし]の,[香|か]に[匂|にほ]ひける,人はいさ,心も知らず,ふるさとは,花ぞ昔の,香に匂ひける,ひとはいさ,こころもしらず,ふるさとは,はなぞむかしの,かににほひける,ひとわいさ,こころもしらず,ふるさとわ,はなぞむかしの,かににおいける,[人|ひと][は|わ]いさー[心|こころ]もしらずｰふるさとー[は|わ]ー,[花|はな]ぞｰ[昔|むかし]のー[香|か]にに[ほ|お][ひ|い]ーける,人はいさー心もしらずｰふるさとーはー,花ぞｰ昔のー香ににほひーける,ひとわいさーこころもしらずｰふるさとーわー,はなぞｰむかしのーかににおいーける,はなそむか,しのかにに,ほひける
36,緑,11,[清原深養父|きよはらのふかやぶ],清原深養父,きよはらのふかやぶ,なつ,なつ,くもの,くもの,[夏|なつ]の[夜|よ]は,まだ[宵|よひ]ながら,[明|あ]けぬるを,[雲|くも]のいづこに,[月|つき]やどるらむ,夏の夜は,まだ宵ながら,明けぬるを,雲のいづこに,月やどるらむ,なつのよは,まだよひながら,あけぬるを,くものいづこに,つきやどるらむ,なつのよわ,まだよいながら,あけぬるを,くものいずこに,つきやどるらん,[夏|なつ]の[夜|よ][は|わ]ーまだ[宵|よい]ながらｰ[明|あ]けぬるーをー,[雲|くも]のｰい[づ|ず]こにー[月|つき][宿|やど]るーら[む|ん],夏の夜はーまだ宵ながらｰ明けぬるーをー,雲のｰいづこにー月宿るーらむ,なつのよわーまだよいながらｰあけぬるーをー,くものｰいずこにーつきやどるーらん,くものいつ,こにつきや,とるらむ
37,黄,7,[文屋朝康|ふんやのあさやす],文屋朝康,ふんやのあさやす,しら,しら,つ,つ,[白露|しらつゆ]に,[風|かぜ]の[吹|ふ]きしく,[秋|あき]の[野|の]は,つらぬきとめぬ,[玉|たま]ぞ[散|ち]りける,白露に,風の吹きしく,秋の野は,つらぬきとめぬ,玉ぞ散りける,しらつゆに,かぜのふきしく,あきののは,つらぬきとめぬ,たまぞちりける,しらつゆに,かぜのふきしく,あきののわ,つらぬきとめぬ,たまぞちりける,[白露|しらつゆ]にー[風|かぜ]の[吹|ふ]きしくｰ[秋|あき]の[野|の]ー[は|わ]ー,つらぬきｰとめぬー[玉|たま]ぞ[散|ち]りーける,白露にー風の吹きしくｰ秋の野ーはー,つらぬきｰとめぬー玉ぞ散りーける,しらつゆにーかぜのふきしくｰあきののーわー,つらぬきｰとめぬーたまぞちりーける,つらぬきと,めぬたまそ,ちりける
38,緑,12,[右近|うこん],右近,うこん,わすら,わすら,ひとの,ひとの,[忘|わす]らるる,[身|み]をば[思|おも]はず,ちかひてし,[人|ひと]の[命|いのち]の,[惜|を]しくもあるかな,忘らるる,身をば思はず,ちかひてし,人の命の,惜しくもあるかな,わすらるる,みをばおもはず,ちかひてし,ひとのいのちの,をしくもあるかな,わすらるる,みをばおもわず,ちかいてし,ひとのいのちの,おしくもあるかな,[忘|わす]らるるー[身|み]をば[思|おも][は|わ]ずｰちか[ひ|い]てーしー,[人|ひと]のｰ[命|いのち]のー[惜|お]しくもあるーかな,忘らるるー身をば思はずｰちかひてーしー,人のｰ命のー惜しくもあるーかな,わすらるるーみをばおもわずｰちかいてーしー,ひとのｰいのちのーおしくもあるーかな,ひとのいの,ちのをしく,もあるかな
39,黄,8,[参議等|さんぎひとし],参議等,さんぎひとし,あさぢ,あさじ,あまり,あまり,[浅茅生|あさぢふ]の,[小野|をの]の[篠原|しのはら],しのぶれど,あまりてなどか,[人|ひと]の[恋|こひ]しき,浅茅生の,小野の篠原,しのぶれど,あまりてなどか,人の恋しき,あさぢふの,をののしのはら,しのぶれど,あまりてなどか,ひとのこひしき,あさじうの,おののしのはら,しのぶれど,あまりてなどか,ひとのこいしき,[浅茅生|あさじう]のー[小野|おの]の[篠原|しのはら]ｰしのぶれーどー,あまりてｰなどかー[人|ひと]の[恋|こい]ーしき,浅茅生のー小野の篠原ｰしのぶれーどー,あまりてｰなどかー人の恋ーしき,あさじうのーおののしのはらｰしのぶれーどー,あまりてｰなどかーひとのこいーしき,あまりてな,とかひとの,こひしき
40,桃,11,[平兼盛|たいらのかねもり],平兼盛,たいらのかねもり,しの,しの,もの,もの,[忍|しの]ぶれど,[色|いろ]に[出|い]でにけり,わが[恋|こひ]は,[物|もの]や[思|おも]ふと,[人|ひと]の[問|と]ふまで,忍ぶれど,色に出でにけり,わが恋は,物や思ふと,人の問ふまで,しのぶれど,いろにいでにけり,わがこひは,ものやおもふと,ひとのとふまで,しのぶれど,いろにいでにけり,わがこいわ,ものやおもうと,ひとのとうまで,しのぶれどー[色|いろ]に[出|い]でにけりｰわが[恋|こい]ー[は|わ]ー,[物|もの]やｰ[思|おも][ふ|う]とー[人|ひと]のと[ふ|う]ーまで,しのぶれどー色に出でにけりｰわが恋ーはー,物やｰ思ふとー人のとふーまで,しのぶれどーいろにいでにけりｰわがこいーわー,ものやｰおもうとーひとのとうーまで,ものやおも,ふとひとの,とふまて
41,緑,13,[壬生忠見|みぶのただみ],壬生忠見,みぶのただみ,こひ,こい,ひとし,ひとし,[恋|こひ]すてふ,わが[名|な]はまだき,[立|た]ちにけり,[人|ひと][知|し]れずこそ,[思|おも]ひそめしか,恋すてふ,わが名はまだき,立ちにけり,人知れずこそ,思ひそめしか,こひすてふ,わがなはまだき,たちにけり,ひとしれずこそ,おもひそめしか,こいすちょう,わがなわまだき,たちにけり,ひとしれずこそ,おもいそめしか,[恋|こい]す[てふ|ちょう]ーわが[名|な][は|わ]まだきｰ[立|た]ちにーけりー,[人|ひと]ｰしれずこそー[思|おも][ひ|い]そめーしか,恋すてふーわが名はまだきｰ立ちにーけりー,人ｰしれずこそー思ひそめーしか,こいすちょうーわがなわまだきｰたちにーけりー,ひとｰしれずこそーおもいそめーしか,ひとしれす,こそおもひ,そめしか
42,緑,14,[清原元輔|きよはらのもとすけ],清原元輔,きよはらのもとすけ,ちぎりき,ちぎりき,す,す,[契|ちぎ]りきな,かたみに[袖|そで]を,しぼりつつ,[末|すゑ]の[松山|まつやま],[波|なみ]こさじとは,契りきな,かたみに袖を,しぼりつつ,末の松山,波こさじとは,ちぎりきな,かたみにそでを,しぼりつつ,すゑのまつやま,なみこさじとは,ちぎりきな,かたみにそでを,しぼりつつ,すえのまつやま,なみこさじとわ,[契|ちぎ]りきなーかたみに[袖|そで]をｰしぼりーつつー,[末|すえ]のｰ[松山|まつやま]ー[波|なみ]こさじーと[は|わ],契りきなーかたみに袖をｰしぼりーつつー,末のｰ松山ー波こさじーとは,ちぎりきなーかたみにそでをｰしぼりーつつー,すえのｰまつやまーなみこさじーとわ,すゑのまつ,やまなみこ,さしとは
43,橙,4,[権中納言敦忠|ごんちゅうなごんあつただ],権中納言敦忠,ごんちゅうなごんあつただ,あひ,あい,むか,むか,[逢|あ]ひ[見|み]ての,[後|のち]の[心|こころ]に,くらぶれば,[昔|むかし]は[物|もの]を,[思|おも]はざりけり,逢ひ見ての,後の心に,くらぶれば,昔は物を,思はざりけり,あひみての,のちのこころに,くらぶれば,むかしはものを,おもはざりけり,あいみての,のちのこころに,くらぶれば,むかしわものを,おもわざりけり,あ[ひ|い]みてのー[後|のち]の[心|こころ]にｰくらぶれーばー,[昔|むかし][は|わ]ｰ[物|もの]をー[思|おも][は|わ]ざりーけり,あひみてのー後の心にｰくらぶれーばー,昔はｰ物をー思はざりーけり,あいみてのーのちのこころにｰくらぶれーばー,むかしわｰものをーおもわざりーけり,むかしはも,のをおもは,さりけり
44,橙,5,[中納言朝忠|ちゅうなごんあさただ],中納言朝忠,ちゅうなごんあさただ,あふこ,おおこ,ひとを,ひとを,[逢|あ]ふ[事|こと]の,[絶|た]えてしなくば,なかなかに,[人|ひと]をも[身|み]をも,[恨|うら]みざらまし,逢ふ事の,絶えてしなくば,なかなかに,人をも身をも,恨みざらまし,あふことの,たえてしなくば,なかなかに,ひとをもみをも,うらみざらまし,おうことの,たえてしなくば,なかなかに,ひとをもみをも,うらみざらまし,[逢|お][ふ|う]ことのーたえてしなくばｰなかなかーにー,[人|ひと]をもｰ[身|み]をもー[恨|うら]みざらーまし,逢ふことのーたえてしなくばｰなかなかーにー,人をもｰ身をもー恨みざらーまし,おうことのーたえてしなくばｰなかなかーにー,ひとをもｰみをもーうらみざらーまし,ひとをもみ,をもうらみ,さらまし
45,橙,3,[謙徳公|けんとくこう],謙徳公,けんとくこう,あはれ,あわれ,みの,みの,[哀|あは]れとも,いふべき[人|ひと]は,[思|おも]ほえで,[身|み]のいたづらに,なりぬべきかな,哀れとも,いふべき人は,思ほえで,身のいたづらに,なりぬべきかな,あはれとも,いふべきひとは,おもほえで,みのいたづらに,なりぬべきかな,あわれとも,ゆうべきひとわ,おもおえで,みのいたずらに,なりぬべきかな,あ[は|わ]れともー[いふ|ゆう]べき[人|ひと][は|わ]ｰ[思|おも][ほ|お]えーでー,[身|み]のｰいた[づ|ず]らにーなりぬべきーかな,あはれともーいふべき人はｰ思ほえーでー,身のｰいたづらにーなりぬべきーかな,あわれともーゆうべきひとわｰおもおえーでー,みのｰいたずらにーなりぬべきーかな,みのいたつ,らになりぬ,へきかな
46,黄,9,[曽禰好忠|そねのよしただ],曽禰好忠,そねのよしただ,ゆら,ゆら,ゆく,ゆく,[由良|ゆら]の[門|と]を,[渡|わた]る[舟人|ふなびと],かぢを[絶|た]え,[行|ゆ]くへも[知|し]らぬ,[恋|こひ]の[道|みち]かな,由良の門を,渡る舟人,かぢを絶え,行くへも知らぬ,恋の道かな,ゆらのとを,わたるふなびと,かぢをたえ,ゆくへもしらぬ,こひのみちかな,ゆらのとを,わたるふなびと,かじをたえ,ゆくえもしらぬ,こいのみちかな,[由良|ゆら]のとをーわたる[舟人|ふなびと]ｰか[ぢ|じ]をーたえー,ゆく[へ|え]もｰしらぬー[恋|こい]の[道|みち]ーかな,由良のとをーわたる舟人ｰかぢをーたえー,ゆくへもｰしらぬー恋の道ーかな,ゆらのとをーわたるふなびとｰかじをーたえー,ゆくえもｰしらぬーこいのみちーかな,ゆくへもし,らぬこひの,みちかな
47,黄,10,[恵慶法師|えぎょうほうし],恵慶法師,えぎょうほうし,やへ,やえ,ひとこそみ,ひとこそみ,[八重|やへ]むぐら,しげれる[宿|やど]の,[寂|さび]しきに,[人|ひと]こそ[見|み]えね,[秋|あき]は[来|き]にけり,八重むぐら,しげれる宿の,寂しきに,人こそ見えね,秋は来にけり,やへむぐら,しげれるやどの,さびしきに,ひとこそみえね,あきはきにけり,やえむぐら,しげれるやどの,さびしきに,ひとこそみえね,あきわきにけり,[八重葎|やえむぐら]ーしげれる[宿|やど]のｰさびしきーにー,[人|ひと]こそｰ[見|み]えねー[秋|あき][は|わ][来|き]にーけり,八重葎ーしげれる宿のｰさびしきーにー,人こそｰ見えねー秋は来にーけり,やえむぐらーしげれるやどのｰさびしきーにー,ひとこそｰみえねーあきわきにーけり,ひとこそみ,えねあきは,きにけり
48,桃,12,[源重之|みなもとのしげゆき],源重之,みなもとのしげゆき,かぜを,かぜを,くだ,くた,[風|かぜ]をいたみ,[岩|いは][打|う]つ[波|なみ]の,おのれのみ,くだけて[物|もの]を,[思|おも]ふころかな,風をいたみ,岩打つ波の,おのれのみ,くだけて物を,思ふころかな,かぜをいたみ,いはうつなみの,おのれのみ,くだけてものを,おもふころかな,かぜをいたみ,いわうつなみの,おのれのみ,くだけてものを,おもうころかな,[風|かぜ]をいたみー[岩|いわ]うつ[波|なみ]のｰおのれーのみー,くだけてｰ[物|もの]をー[思|おも][ふ|う]ころーかな,風をいたみー岩うつ波のｰおのれーのみー,くだけてｰ物をー思ふころーかな,かぜをいたみーいわうつなみのｰおのれーのみー,くだけてｰものをーおもうころーかな,くたけても,のをおもふ,ころかな
49,橙,16,[大中臣能宣朝臣|おおなかとみのよしのぶあそん],大中臣能宣朝臣,おおなかとみのよしのぶあそん,みかき,みかき,ひる,ひる,[御垣守|みかきもり],[衛士|ゑじ]のたく[火|ひ]の,[夜|よる]は[燃|も]え,[昼|ひる]は[消|き]えつつ,[物|もの]をこそ[思|おも]へ,御垣守,衛士のたく火の,夜は燃え,昼は消えつつ,物をこそ思へ,みかきもり,ゑじのたくひの,よるはもえ,ひるはきえつつ,ものをこそおもへ,みかきもり,えじのたくひの,よるわもえ,ひるわきえつつ,ものをこそおもえ,みかきもりー[衛士|えじ]のたく[火|ひ]のｰ[夜|よる][は|わ]ーもえー,[昼|ひる][は|わ]ｰ[消|き]えつつー[物|もの]をこそー[思|おも][へ|え],みかきもりー衛士のたく火のｰ夜はーもえー,昼はｰ消えつつー物をこそー思へ,みかきもりーえじのたくひのｰよるわーもえー,ひるわｰきえつつーものをこそーおもえ,ひるはきえ,つつものを,こそおもへ
50,青,8,[藤原義孝|ふじわらのよしたか],藤原義孝,ふじわらのよしたか,きみがためを,きみがためお,ながく,なかく,[君|きみ]がため,[惜|を]しからざりし,[命|いのち]さへ,[長|なが]くもがなと,[思|おも]ひけるかな,君がため,惜しからざりし,命さへ,長くもがなと,思ひけるかな,きみがため,をしからざりし,いのちさへ,ながくもがなと,おもひけるかな,きみがため,おしからざりし,いのちさえ,ながくもがなと,おもいけるかな,[君|きみ]がため[惜|お]しからざりしー[命|いのち]ーさ[へ|え]ー,[長|なが]くｰもがなとー[思|おも][ひ|い]けるーかな,君がため惜しからざりしー命ーさへー,長くｰもがなとー思ひけるーかな,きみがためおしからざりしーいのちーさえー,ながくｰもがなとーおもいけるーかな,なかくもか,なとおもひ,けるかな
51,桃,7,[藤原実方朝臣|ふじわらのさねかたあそん],藤原実方朝臣,ふじわらのさねかたあそん,かく,かく,さ,さ,かくとだに,えやは[伊吹|いぶき]の,さしも[草|ぐさ],さしも[知|し]らじな,[燃|も]ゆる[思|おも]ひを,かくとだに,えやは伊吹の,さしも草,さしも知らじな,燃ゆる思ひを,かくとだに,えやはいぶきの,さしもぐさ,さしもしらじな,もゆるおもひを,かくとだに,えやわいぶきの,さしもぐさ,さしもしらじな,もゆるおもいを,かくとだにーえや[は|わ]いぶきのｰさしもー[草|ぐさ]ー,さしもｰしらじなーもゆる[思|おも]ー[ひ|い]を,かくとだにーえやはいぶきのｰさしもー草ー,さしもｰしらじなーもゆる思ーひを,かくとだにーえやわいぶきのｰさしもーぐさー,さしもｰしらじなーもゆるおもーいを,さしもしら,しなもゆる,おもひを
