number,color,color_num,author,author_kanji,author_hiragana,kimariji_kami,kimariji_kami_yomi,kimariji_shimo,kimariji_shimo_no_tenten,verse_1,verse_2,verse_3,verse_4,verse_5,verse_1_kanji,verse_2_kanji,verse_3_kanji,verse_4_kanji,verse_5_kanji,verse_1_hiragana,verse_2_hiragana,verse_3_hiragana,verse_4_hiragana,verse_5_hiragana,verse_1_hiragana_yomi,verse_2_hiragana_yomi,verse_3_hiragana_yomi,verse_4_hiragana_yomi,verse_5_hiragana_yomi,kyougi_yomi_kami,kyougi_yomi_shimo,kyougi_yomi_kami_kanji,kyougi_yomi_shimo_kanji,kyougi_yomi_kami_hiragana,kyougi_yomi_shimo_hiragana,torifuda_1,torifuda_2,torifuda_3
11,緑,3,[参議篁|さんぎたかむら],参議篁,さんぎたかむら,わたのはらや,わたのはらや,ひとには,ひとには,わたの[原|はら],[八十島|やそしま]かけて,[漕|こ]ぎ[出|い]でぬと,[人|ひと]には[告|つ]げよ,あまの[釣舟|つりぶね],わたの原,八十島かけて,漕ぎ出でぬと,人には告げよ,あまの釣舟,わたのはら,やそしまかけて,こぎいでぬと,ひとにはつげよ,あまのつりぶね,わたのはら,やそしまかけて,こぎいでぬと,ひとにわつげよ,あまのつりぶね,わたの[原|はら][八十島|やそしま]かけてー[漕|こ]ぎ[出|い]でぬーとー,[人|ひと]に[は|わ]ｰ[告|つ]げよーあまのつりー[舟|ぶね],わたの原八十島かけてー漕ぎ出でぬーとー,人にはｰ告げよーあまのつりー舟,わたのはらやそしまかけてーこぎいでぬーとー,ひとにわｰつげよーあまのつりーぶね,ひとにはつ,けよあまの,つりふね
12,青,10,[僧正遍昭|そうじょうへんじょう],僧正遍昭,そうじょうへんじょう,あまつ,あまつ,を,を,[天|あま]つ[風|かぜ],[雲|くも]の[通|かよ]ひ[路|ぢ],[吹|ふ]きとぢよ,[乙女|をとめ]の[姿|すがた],しばしとどめむ,天つ風,雲の通ひ路,吹きとぢよ,乙女の姿,しばしとどめむ,あまつかぜ,くものかよひぢ,ふきとぢよ,をとめのすがた,しばしとどめむ,あまつかぜ,くものかよいじ,ふきとじよ,おとめのすがた,しばしとどめん,[天|あま]つ[風|かぜ]ー[雲|くも]のかよ[ひ|い][路|じ]ｰ[吹|ふ]きと[ぢ|じ]ーよー,[を|お]とめのｰ[姿|すがた]ーしばしとどーめ[む|ん],天つ風ー雲のかよひ路ｰ吹きとぢーよー,をとめのｰ姿ーしばしとどーめむ,あまつかぜーくものかよいじｰふきとじーよー,おとめのｰすがたーしばしとどーめん,をとめのす,かたしはし,ととめむ
13,桃,18,[陽成院|ようぜいいん],陽成院,ようぜいいん,つく,つく,こひぞ,こひそ,[筑波嶺|つくばね]の,[峰|みね]より[落|お]つる,みなの[川|がは],[恋|こひ]ぞつもりて,[淵|ふち]となりぬる,筑波嶺の,峰より落つる,みなの川,恋ぞつもりて,淵となりぬる,つくばねの,みねよりおつる,みなのがは,こひぞつもりて,ふちとなりぬる,つくばねの,みねよりおつる,みなのがわ,こいぞつもりて,ふちとなりぬる,つくばねのー[峰|みね]よりおつるｰみなのー[川|がわ]ー,こ[ひ|い]ぞｰつもりてー[淵|ふち]となりーぬる,つくばねのー峰よりおつるｰみなのー川ー,こひぞｰつもりてー淵となりーぬる,つくばねのーみねよりおつるｰみなのーがわー,こいぞｰつもりてーふちとなりーぬる,こひそつも,りてふちと,なりぬる
14,青,13,[河原左大臣|かわらのさだいじん],河原左大臣,かわらのさだいじん,みち,みち,みだれそ,みたれそ,[陸奥|みちのく]の,しのぶもぢずり,[誰|たれ]ゆゑに,[乱|みだ]れそめにし,[我|われ]ならなくに,陸奥の,しのぶもぢずり,誰ゆゑに,乱れそめにし,我ならなくに,みちのくの,しのぶもぢずり,たれゆゑに,みだれそめにし,われならなくに,みちのくの,しのぶもじずり,たれゆえに,みだれそめにし,われならなくに,みちのくのーしのぶも[ぢ|じ]ずりｰ[誰|たれ]ゆ[ゑ|え]ーにー,[乱|みだ]れそめｰにしーわれならーなくに,みちのくのーしのぶもぢずりｰ誰ゆゑーにー,乱れそめｰにしーわれならーなくに,みちのくのーしのぶもじずりｰたれゆえーにー,みだれそめｰにしーわれならーなくに,みたれそめ,にしわれな,らなくに
15,緑,4,[光孝天皇|こうこうてんのう],光孝天皇,こうこうてんのう,きみがためは,きみがためは,わがころもでに,わかころもてに,[君|きみ]がため,[春|はる]の[野|の]に[出|い]でて,[若菜|わかな]つむ,わが[衣手|ころもで]に,[雪|ゆき]は[降|ふ]りつつ,君がため,春の野に出でて,若菜つむ,わが衣手に,雪は降りつつ,きみがため,はるののにいでて,わかなつむ,わがころもでに,ゆきはふりつつ,きみがため,はるののにいでて,わかなつむ,わがころもでに,ゆきわふりつつ,[君|きみ]がため[春|はる]の[野|の]に[出|い]でてー[若菜|わかな]ーつむー,わがｰ[衣手|ころもで]にー[雪|ゆき][は|わ][降|ふ]りーつつ,君がため春の野に出でてー若菜ーつむー,わがｰ衣手にー雪は降りーつつ,きみがためはるののにいでてーわかなーつむー,わがｰころもでにーゆきわふりーつつ,わかころも,てにゆきは,ふりつつ
16,桃,13,[中納言行平|ちゅうなごんゆきひら],中納言行平,ちゅうなごんゆきひら,たち,たち,まつと,まつと,[立|た]ち[別|わか]れ,いなばの[山|やま]の,[峰|みね]に[生|お]ふる,まつとし[聞|き]かば,[今|いま][帰|かへ]り[来|こ]む,立ち別れ,いなばの山の,峰に生ふる,まつとし聞かば,今帰り来む,たちわかれ,いなばのやまの,みねにおふる,まつとしきかば,いまかへりこむ,たちわかれ,いなばのやまの,みねにおうる,まつとしきかば,いまかえりこん,たち[別|わか]れーいなばの[山|やま]のｰ[峰|みね]に[生|お][ふ|う]ーるー,まつとしｰ[聞|き]かばーいま[帰|かえ]りーこ[む|ん],たち別れーいなばの山のｰ峰に生ふーるー,まつとしｰ聞かばーいま帰りーこむ,たちわかれーいなばのやまのｰみねにおうーるー,まつとしｰきかばーいまかえりーこん,まつとしき,かはいまか,へりこむ
17,緑,5,[在原業平朝臣|ありわらのなりひらあそん],在原業平朝臣,ありわらのなりひらあそん,ちは,ちは,から,から,[千早|ちはや][振|ぶ]る,[神代|かみよ]も[聞|き]かず,[龍田川|たつたがは],からくれなゐに,[水|みづ]くくるとは,千早振る,神代も聞かず,龍田川,からくれなゐに,水くくるとは,ちはやぶる,かみよもきかず,たつたがは,からくれなゐに,みづくくるとは,ちはやぶる,かみよもきかず,たつたがわ,からくれないに,みずくくるとわ,ちはやぶるー[神代|かみよ]もきかずｰ[竜田|たつた]ー[川|がわ]ー,からｰくれな[ゐ|い]にー[水|みず]くくるーと[は|わ],ちはやぶるー神代もきかずｰ竜田ー川ー,からｰくれなゐにー水くくるーとは,ちはやぶるーかみよもきかずｰたつたーがわー,からｰくれないにーみずくくるーとわ,からくれな,ゐにみつく,くるとは
18,黄,4,[藤原敏行朝臣|ふじわらのとしゆきあそん],藤原敏行朝臣,ふじわらのとしゆきあそん,す,す,ゆめ,ゆめ,[住|すみ]の[江|え]の,[岸|きし]に[寄|よ]る[波|なみ],[寄|よ]るさへや,[夢|ゆめ]の[通|かよ]ひ[路|ぢ],[人目|ひとめ]よくらむ,住の江の,岸に寄る波,寄るさへや,夢の通ひ路,人目よくらむ,すみのえの,きしによるなみ,よるさへや,ゆめのかよひぢ,ひとめよくらむ,すみのえの,きしによるなみ,よるさえや,ゆめのかよいじ,ひとめよくらん,すみの[江|え]のー[岸|きし]に[寄|よ]る[波|なみ]ｰよるさ[へ|え]ーやー,[夢|ゆめ]のｰかよ[ひ|い][路|じ]ー[人目|ひとめ][避|よ]くーら[む|ん],すみの江のー岸に寄る波ｰよるさへーやー,夢のｰかよひ路ー人目避くーらむ,すみのえのーきしによるなみｰよるさえーやー,ゆめのｰかよいじーひとめよくーらん,ゆめのかよ,ひちひとめ,よくらむ
19,橙,13,[伊勢|いせ],伊勢,いせ,なにはが,なにわが,あはで,あはて,[難波|なには]がた,[短|みじか]き[蘆|あし]の,ふしの[間|ま]も,[逢|あ]はでこの[世|よ]を,すぐしてよとや,難波がた,短き蘆の,ふしの間も,逢はでこの世を,すぐしてよとや,なにはがた,みじかきあしの,ふしのまも,あはでこのよを,すぐしてよとや,なにわがた,みじかきあしの,ふしのまも,あわでこのよを,すぐしてよとや,[難波潟|なにわがた]ー[短|みじか]き[芦|あし]のｰふしの[間|ま]ーもー,[逢|あ][は|わ]でｰこの[世|よ]をー[過|す]ぐしてよーとや,難波潟ー短き芦のｰふしの間ーもー,逢はでｰこの世をー過ぐしてよーとや,なにわがたーみじかきあしのｰふしのまーもー,あわでｰこのよをーすぐしてよーとや,あはてこの,よをすくし,てよとや
20,緑,6,[元良親王|もとよししんのう],元良親王,もとよししんのう,わび,わび,みをつくしても,みをつくしても,[侘|わ]びぬれば,[今|いま]はた[同|おな]じ,[難波|なには]なる,[身|み]をつくしても,[逢|あ]はむとぞ[思|おも]ふ,侘びぬれば,今はた同じ,難波なる,身をつくしても,逢はむとぞ思ふ,わびぬれば,いまはたおなじ,なにはなる,みをつくしても,あはむとぞおもふ,わびぬれば,いまはたおなじ,なにわなる,みをつくしても,あわんとぞおもう,わびぬればーいまはたおなじｰ[難波|なにわ]ーなるー,みをｰつくしてもーあ[は|わ][む|ん]とぞー[思|おも][ふ|う],わびぬればーいまはたおなじｰ難波ーなるー,みをｰつくしてもーあはむとぞー思ふ,わびぬればーいまはたおなじｰなにわーなるー,みをｰつくしてもーあわんとぞーおもう,みをつくし,てもあはむ,とそおもふ
